Location,Revenue,Profit_Margin
New York City,101573.11,28.4
Los Angeles,72860.55,19.44
San Francisco,41047.39,20.47
Seattle,39651.2,20.84
Philadelphia,35175.79,24.8
Houston,26418.26,36.58
Lafayette,19475.24,45.78
San Diego,18954.29,15.65
Chicago,15824.27,54.95
Burlington,14832.27,36.82
San Antonio,14280.099999999999,27.64
Jacksonville,14183.54,17.63
Detroit,14154.300000000001,28.93
Henderson,13792.81,28.94
Columbus,11398.84,24.93
Arlington,11150.150000000001,30.63
Springfield,10028.59,30.06
Dallas,9943.18,35.76
Providence,8918.869999999999,40.3
Long Beach,8545.93,18.11
